region,type,sqfeet,beds,baths,comes_furnished,laundry_options,parking_options,cats_allowed,dogs_allowed,price
birmingham,apartment,1908,3,2.0,0,laundry on site,street parking,1,1,1195
birmingham,apartment,1319,3,2.0,0,laundry on site,off-street parking,1,1,1120
birmingham,apartment,1133,1,1.5,0,laundry on site,street parking,1,1,825
birmingham,apartment,927,1,1.0,0,laundry on site,street parking,1,1,800
birmingham,apartment,1047,2,1.0,0,laundry on site,street parking,1,1,785
birmingham,apartment,1298,2,2.0,0,laundry on site,street parking,1,1,900
birmingham,apartment,1350,2,2.0,0,laundry on site,street parking,1,1,925
birmingham,apartment,1375,3,2.0,0,w/d hookups,off-street parking,1,1,1355
birmingham,house,672,2,1.0,0,w/d hookups,carport,1,1,685
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1060
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1100
birmingham,apartment,851,1,1.0,0,laundry on site,off-street parking,1,1,870
birmingham,apartment,851,1,1.0,0,laundry on site,off-street parking,1,1,815
birmingham,apartment,1107,2,2.0,0,w/d hookups,off-street parking,1,1,1132
birmingham,apartment,1908,3,2.0,0,laundry on site,street parking,1,1,1105
birmingham,apartment,851,1,1.0,0,laundry on site,off-street parking,1,1,820
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,890
birmingham,apartment,1009,2,1.0,0,laundry on site,off-street parking,1,1,975
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1010
birmingham,apartment,560,1,1.0,0,laundry on site,off-street parking,1,1,835
birmingham,apartment,851,1,1.0,0,laundry on site,off-street parking,1,1,825
birmingham,apartment,996,2,1.0,0,w/d hookups,off-street parking,1,1,990
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,990
birmingham,apartment,1065,2,2.0,0,w/d hookups,off-street parking,1,1,904
birmingham,apartment,1908,3,2.0,0,laundry on site,street parking,1,1,1222
birmingham,apartment,851,1,1.0,0,laundry on site,off-street parking,1,1,840
birmingham,apartment,1300,3,2.0,0,w/d hookups,off-street parking,1,1,1100
birmingham,apartment,1150,2,2.0,0,w/d hookups,off-street parking,1,1,960
birmingham,apartment,600,1,1.0,0,laundry in bldg,off-street parking,1,0,814
birmingham,apartment,700,1,1.0,0,w/d in unit,off-street parking,1,0,874
birmingham,apartment,880,2,1.0,0,w/d in unit,off-street parking,1,0,1004
birmingham,townhouse,960,2,1.0,0,w/d hookups,street parking,1,1,820
birmingham,apartment,770,2,1.0,0,w/d hookups,off-street parking,1,1,950
birmingham,apartment,850,2,1.0,0,w/d hookups,off-street parking,1,1,950
birmingham,apartment,802,1,1.0,0,laundry on site,street parking,1,1,765
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1080
birmingham,apartment,700,1,1.0,0,laundry on site,off-street parking,1,0,839
birmingham,apartment,700,2,1.0,0,w/d in unit,off-street parking,1,0,874
birmingham,townhouse,960,2,1.0,0,w/d hookups,street parking,1,1,840
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,965
birmingham,townhouse,1080,3,1.0,0,w/d in unit,street parking,1,1,930
birmingham,apartment,600,2,1.0,0,w/d in unit,off-street parking,1,0,810
birmingham,apartment,1080,3,1.0,0,w/d hookups,street parking,1,1,930
birmingham,apartment,1572,3,2.0,0,laundry on site,street parking,1,1,1145
birmingham,apartment,1572,3,2.0,0,laundry on site,street parking,1,1,1165
birmingham,apartment,1418,2,2.0,0,laundry on site,street parking,1,1,925
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1055
birmingham,apartment,1107,2,2.0,0,w/d in unit,off-street parking,1,1,1122
birmingham,condo,950,2,1.0,0,w/d in unit,off-street parking,1,1,1300
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1070
birmingham,apartment,927,1,1.0,0,laundry on site,street parking,1,1,790
birmingham,apartment,1133,1,1.5,0,laundry on site,street parking,1,1,840
birmingham,apartment,1298,2,2.0,0,laundry on site,street parking,1,1,940
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1040
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1030
birmingham,townhouse,1400,3,2.5,0,w/d hookups,off-street parking,1,1,1335
birmingham,apartment,851,1,1.0,0,laundry on site,off-street parking,1,1,785
birmingham,apartment,750,1,1.0,0,w/d hookups,off-street parking,1,1,899
birmingham,townhouse,1400,3,2.5,0,w/d hookups,off-street parking,1,1,1375
birmingham,apartment,750,1,1.0,0,w/d hookups,off-street parking,1,0,899
birmingham,apartment,1200,2,2.5,0,w/d hookups,off-street parking,1,1,1230
birmingham,apartment,1060,2,2.0,0,w/d hookups,off-street parking,1,1,1145
birmingham,apartment,1133,1,1.5,0,laundry on site,street parking,1,1,915
birmingham,house,1829,4,2.5,0,w/d hookups,attached garage,1,1,999
birmingham,apartment,1226,2,2.0,0,w/d hookups,off-street parking,1,1,1244
birmingham,house,1397,3,2.5,0,w/d hookups,off-street parking,0,0,1400
birmingham,apartment,1177,2,2.0,0,w/d hookups,off-street parking,1,1,1227
huntsville / decatur,apartment,1440,3,2.0,0,w/d hookups,off-street parking,1,1,1134
birmingham,apartment,1100,2,2.0,0,w/d in unit,off-street parking,1,1,995
birmingham,apartment,1572,3,2.0,0,laundry on site,street parking,1,1,1215
birmingham,apartment,1000,2,1.0,0,w/d hookups,off-street parking,1,1,930
birmingham,apartment,851,1,1.0,0,laundry on site,off-street parking,1,1,865
birmingham,apartment,1000,2,1.0,0,w/d hookups,off-street parking,1,1,905
birmingham,apartment,1000,2,1.0,0,w/d hookups,off-street parking,1,1,1005
birmingham,apartment,1298,2,2.0,0,laundry on site,street parking,1,1,960
birmingham,apartment,1000,2,1.0,0,w/d hookups,off-street parking,1,1,940
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1015
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1085
birmingham,apartment,583,1,1.0,0,w/d in unit,off-street parking,1,1,790
birmingham,apartment,1047,2,1.0,0,laundry on site,street parking,1,1,870
birmingham,apartment,1000,2,1.0,0,w/d hookups,street parking,1,1,850
birmingham,apartment,1029,2,1.0,0,w/d hookups,street parking,1,1,800
birmingham,apartment,1862,3,2.0,0,laundry on site,street parking,1,1,1200
birmingham,apartment,1548,2,1.5,0,laundry on site,street parking,1,1,1025
birmingham,house,1575,3,2.0,0,w/d hookups,off-street parking,1,1,975
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1115
birmingham,house,1347,3,2.0,1,w/d in unit,attached garage,1,1,900
birmingham,apartment,851,1,1.0,0,laundry on site,off-street parking,1,1,855
birmingham,apartment,802,1,1.0,0,laundry on site,street parking,1,1,775
birmingham,apartment,1047,2,1.0,0,laundry on site,street parking,1,1,850
birmingham,apartment,1100,2,2.0,0,laundry on site,off-street parking,1,1,1120
birmingham,apartment,677,1,1.0,0,laundry on site,off-street parking,1,1,649
birmingham,apartment,1908,3,2.0,0,laundry on site,street parking,1,1,1155
birmingham,apartment,1456,3,2.0,0,w/d in unit,street parking,1,1,1400
birmingham,apartment,1862,3,2.0,0,laundry on site,street parking,1,1,1180
birmingham,apartment,1548,2,1.5,0,laundry on site,street parking,1,1,1075
birmingham,apartment,1202,2,2.0,0,w/d in unit,off-street parking,1,1,1376
birmingham,apartment,851,1,1.0,0,laundry on site,off-street parking,1,1,850
birmingham,apartment,1094,2,2.0,0,w/d hookups,off-street parking,1,1,1249
birmingham,apartment,802,1,1.0,0,laundry on site,street parking,1,1,705
birmingham,apartment,1350,2,2.0,0,laundry on site,street parking,1,1,965
birmingham,apartment,1700,3,2.0,0,w/d hookups,off-street parking,1,1,1259
birmingham,apartment,1700,3,2.0,0,w/d hookups,off-street parking,1,1,1359
birmingham,apartment,825,1,1.0,0,laundry on site,off-street parking,1,1,925
birmingham,apartment,1372,3,2.0,0,w/d hookups,off-street parking,1,1,1150
birmingham,apartment,1103,2,1.0,0,w/d hookups,off-street parking,1,1,900
birmingham,apartment,894,1,1.0,0,w/d hookups,off-street parking,1,1,899
birmingham,apartment,1179,2,2.0,0,w/d hookups,off-street parking,1,1,1075
birmingham,apartment,1372,3,2.0,0,w/d hookups,off-street parking,1,1,1125
birmingham,apartment,1179,2,2.0,0,w/d hookups,off-street parking,1,1,899
birmingham,apartment,1565,2,2.0,0,w/d hookups,off-street parking,1,1,1225
birmingham,apartment,1133,1,1.5,0,laundry on site,street parking,1,1,815
birmingham,apartment,820,1,1.0,0,w/d hookups,off-street parking,1,1,919
birmingham,apartment,1268,3,2.0,0,w/d hookups,off-street parking,1,1,1251
birmingham,apartment,713,1,1.0,0,w/d in unit,attached garage,1,1,1326
birmingham,house,2413,4,3.5,0,w/d hookups,attached garage,1,1,1189
birmingham,apartment,594,1,1.0,0,laundry on site,off-street parking,1,1,714
birmingham,apartment,673,1,1.0,0,w/d hookups,off-street parking,1,1,749
birmingham,house,1750,2,2.5,0,w/d in unit,off-street parking,1,1,2200
dothan,townhouse,1740,3,2.5,0,w/d in unit,attached garage,0,0,1250
birmingham,apartment,996,2,1.0,0,w/d in unit,off-street parking,1,1,990
birmingham,apartment,820,1,1.0,0,w/d in unit,off-street parking,1,1,919
birmingham,apartment,600,1,1.0,0,laundry on site,off-street parking,1,0,750
huntsville / decatur,apartment,856,1,1.0,0,w/d hookups,off-street parking,1,1,855
dothan,manufactured,1088,3,2.0,0,w/d hookups,off-street parking,1,1,695
dothan,apartment,750,2,1.0,0,w/d in unit,street parking,0,0,700
dothan,apartment,950,2,1.0,0,laundry in bldg,off-street parking,0,0,700
dothan,townhouse,1910,3,2.5,0,w/d hookups,attached garage,0,0,1100
dothan,apartment,641,1,1.0,0,w/d hookups,off-street parking,1,1,710
dothan,house,1100,3,1.5,0,w/d hookups,carport,0,0,700
dothan,house,1229,3,2.0,0,w/d in unit,attached garage,1,1,750
dothan,manufactured,1088,3,2.0,0,w/d hookups,off-street parking,1,1,795
dothan,apartment,724,1,1.0,0,w/d hookups,street parking,1,1,850
dothan,house,1900,3,2.0,0,w/d hookups,off-street parking,1,1,725
dothan,house,1360,2,2.0,0,w/d hookups,detached garage,0,0,800
dothan,apartment,1050,2,2.0,0,w/d in unit,off-street parking,1,1,1420
dothan,apartment,956,2,1.0,0,w/d hookups,street parking,0,0,500
huntsville / decatur,condo,740,1,1.0,0,w/d in unit,off-street parking,0,0,725
dothan,house,1300,3,2.0,0,w/d hookups,carport,1,1,799
dothan,house,1367,3,2.0,0,w/d in unit,attached garage,0,0,1000
dothan,apartment,977,2,1.5,0,w/d hookups,off-street parking,1,1,864
dothan,apartment,923,2,1.5,0,w/d hookups,off-street parking,1,1,873
dothan,apartment,724,1,1.0,0,w/d hookups,off-street parking,1,1,850
dothan,apartment,649,1,1.0,0,w/d hookups,off-street parking,1,1,825
dothan,manufactured,1300,3,2.0,0,w/d hookups,off-street parking,1,1,657
dothan,townhouse,1375,2,2.5,0,w/d in unit,attached garage,0,0,700
dothan,apartment,944,2,1.5,0,w/d hookups,off-street parking,1,1,874
dothan,apartment,944,2,1.5,0,w/d hookups,off-street parking,1,1,809
mobile,apartment,1063,2,1.5,0,laundry on site,off-street parking,1,1,839
dothan,apartment,900,3,1.0,0,w/d hookups,off-street parking,0,0,625
dothan,apartment,1200,3,2.0,0,w/d hookups,off-street parking,0,0,645
dothan,manufactured,1440,3,2.0,0,w/d hookups,off-street parking,0,0,675
dothan,apartment,605,1,1.0,0,laundry on site,off-street parking,1,1,500
dothan,apartment,948,3,1.0,0,laundry on site,street parking,1,1,700
dothan,manufactured,900,2,2.0,0,w/d hookups,off-street parking,0,0,495
dothan,manufactured,1280,3,2.0,0,w/d hookups,off-street parking,0,0,595
dothan,house,1386,3,2.5,0,w/d in unit,attached garage,1,0,1190
florence / muscle shoals,apartment,1000,2,1.0,0,w/d hookups,off-street parking,0,0,625
florence / muscle shoals,apartment,500,1,1.0,0,laundry on site,off-street parking,1,1,425
mobile,apartment,650,1,1.0,0,laundry on site,off-street parking,1,1,649
florence / muscle shoals,house,1700,3,1.5,0,w/d hookups,carport,1,1,800
florence / muscle shoals,house,1500,3,2.0,0,w/d hookups,carport,1,1,975
florence / muscle shoals,house,2500,4,2.5,0,w/d in unit,attached garage,0,0,1200
florence / muscle shoals,house,1000,3,1.0,0,w/d hookups,carport,1,1,700
florence / muscle shoals,house,1500,3,1.5,0,w/d hookups,carport,1,1,900
florence / muscle shoals,duplex,1100,2,2.0,0,w/d hookups,attached garage,0,0,720
florence / muscle shoals,apartment,775,2,1.0,0,w/d hookups,off-street parking,1,1,450
florence / muscle shoals,house,2416,4,2.5,0,w/d hookups,attached garage,0,0,1200
florence / muscle shoals,apartment,700,2,1.0,0,w/d hookups,off-street parking,0,0,525
florence / muscle shoals,apartment,800,2,1.0,0,w/d hookups,off-street parking,0,0,725
florence / muscle shoals,house,1750,3,2.0,0,w/d in unit,attached garage,0,0,1475
florence / muscle shoals,house,2500,4,2.0,0,w/d hookups,carport,0,0,875
florence / muscle shoals,house,1176,2,1.0,0,w/d hookups,carport,1,1,900
florence / muscle shoals,apartment,1000,2,1.5,0,w/d in unit,off-street parking,0,0,850
florence / muscle shoals,apartment,1000,2,2.0,0,w/d hookups,off-street parking,1,1,625
florence / muscle shoals,apartment,600,1,1.0,0,w/d in unit,off-street parking,1,1,495
florence / muscle shoals,apartment,1000,2,1.5,0,laundry in bldg,street parking,1,1,595
florence / muscle shoals,duplex,1100,2,2.0,0,w/d hookups,carport,0,0,650
florence / muscle shoals,apartment,980,2,2.0,0,w/d hookups,off-street parking,1,1,600
florence / muscle shoals,apartment,750,2,1.0,0,w/d hookups,off-street parking,0,0,500
florence / muscle shoals,house,1100,3,2.0,0,w/d hookups,carport,1,1,1000
florence / muscle shoals,house,1500,3,1.0,0,w/d hookups,detached garage,0,0,550
florence / muscle shoals,house,1500,3,1.0,0,w/d in unit,carport,1,1,775
florence / muscle shoals,house,1400,4,3.0,0,w/d hookups,off-street parking,0,0,775
florence / muscle shoals,apartment,850,2,1.5,0,w/d hookups,off-street parking,0,0,445
florence / muscle shoals,house,1316,3,2.0,0,w/d in unit,carport,1,1,499
florence / muscle shoals,apartment,768,1,1.0,1,w/d in unit,off-street parking,1,1,1100
florence / muscle shoals,house,1248,3,1.0,0,w/d hookups,carport,0,0,950
florence / muscle shoals,house,1400,3,2.0,0,w/d hookups,attached garage,0,0,1000
florence / muscle shoals,manufactured,1150,3,2.0,0,w/d hookups,off-street parking,0,0,550
florence / muscle shoals,townhouse,1100,2,1.5,0,w/d in unit,off-street parking,0,0,695
florence / muscle shoals,house,1492,3,1.5,0,w/d hookups,attached garage,0,0,800
gadsden-anniston,apartment,850,2,1.5,0,w/d hookups,off-street parking,1,1,645
florence / muscle shoals,house,1450,2,2.0,0,w/d hookups,attached garage,0,1,425
gadsden-anniston,house,1800,3,1.0,0,w/d hookups,off-street parking,0,0,625
gadsden-anniston,apartment,1595,3,2.0,1,w/d in unit,detached garage,1,1,800
gadsden-anniston,apartment,710,1,1.0,0,laundry on site,off-street parking,1,1,580
